Procurement Reference (Mandatory for Third Party - 1ø Tier Vendor)  or IBM identification Nbr. |Entity Name (IBM or Third Party vendor) |Country/Address|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors |Tool Name/Tool Reference| In what category is the Vendor's Service Description ? (using the categories in GSAR (Global Solution Architecture Repository)) |On boarding|Off-Boarding|Tool Owner| Assesment Owner|NOTE|Does this Vendor Process Client Controlled PD ? Yes / No
F00063|RED HAT LI|ROMANIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
100000045|RED HAT LI|SERBIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000180432|RED HAT LIMITED                    |BELGIUM|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
K00222|RED HAT JAPAN INC|JAPAN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
093902|RED HAT JAPAN INC|JAPAN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
07069791|RED HAT BR|BRAZIL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000398152|RED HAT S|MEXICO|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000120951|RED HAT IN|Peru|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
F0000129|RED HAT LI|MOROCCO|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
F0056|RED HAT AS|PAKISTAN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
001226|RED HAT LI|TURKEY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
200000|RED HAT LI|UNITED ARAB EMIRATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000120951|RED HAT INC|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000117560|RED HAT  INC.|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000146468|VERITAS TECHNOLOGIES LLC|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|NetBackup Application used for Building the Backup as a Service Technology|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000370051|AMAZON WEB|BRAZIL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000370051|AMAZON WEB SERVICES INC|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000370051|AMAZON WEB SERVICES INC            |NORWAY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
K00243|AMAZON WEB SERVICES  INC.|JAPAN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_EXP0054|Softlayer Technologies Deutschland GmbH|Wilhelm-Fay-Straáe 30-34  65936 Frankfurt am Main  -  Germany|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0085|Softlayer Technologies Hong Kong Limited|Level 54  Hopewell Centre  183 Queen's Road East  -   Hong Kong|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0100|SoftLayer Technologies India Private Limited|No.12  Subramanya Arcade  Bannerghatta Main Road  -   India|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_EXP0070|SoftLayer Technologies Italia S.r.l.ÿ|Via Monzoro 101 ? 105ÿ 20010 Cornaredo (MI)  -  Italy|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0140|SoftLayer Technologies Japan K.K.|19-21 Nihonbashi Hakozaki-cho Chuo-ku  Tokyo 103-8510  -   Japan|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0163|SoftLayer Technologies Mexico  S. de R.L. de C.V.|Alfonso N poles Gandara 3111  Parque  Corporativo de Pe¤a Blanca  Santa Fe 01210  -   Mexico|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_EXP0110|SoftLayer Dutch Holdings B.V|Paul van Vlissingenstraat 16 1096 BK Amsterdam   -  Netherlands|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_EXP0111|SoftLayer Technologies Netherlands B.V.|Paul van Vlissingenstraat 16 1096 BK Amsterdam   -  Netherlands|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0201|Softlayer Technologies Asia Private Limited|80 Robinson Road  #02-00  068898   -   Singapore|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_EXP0161|Softlayer Technologies UK Limited|8 Lincoln's Inn Fields  London  WC2A 3BP  -  United Kingdom|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0326|Softlayer Holdings  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0327|Softlayer II Holdings Company  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0328|Softlayer Intermediate Holdings  LLC|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
IBM_IMP0329|Softlayer Technologies  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Infrastructure in IBM Cloud|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000328333|LENOVO KOR|SOUTH KOREA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
L00103|LENOVO THA|THAILAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
L00088|LENOVO HON|HONG KONG|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
27250846|LENOVO T|TAIWAN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000433417|LENOVO TEC|AUSTRIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
813067|LENOVO TEC|AUSTRIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000346040|LENOVO GLO|BULGARIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000433096|LENOVO.GLO|BULGARIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000433096|LENOVO GLO|Czech Republic|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000306298|LENOVO TECHNOLOGY (UNITED KINGDOM)|FRANCE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
0003461|LENOVO TEC|GREECE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000433292|LENOVO TEC|GREECE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
033257|LENOVO IS|ISRAEL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000328330|LENOVO ISR|ISRAEL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322240|LENOVO TEC|LATVIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307939|LENOVO TEC|LITHUANIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
010614|LENOVO SPA|PORTUGAL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000433473|LENOVO SPA|PORTUGAL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322143|LENOVO TECHNOLOGY (UNITED KINGDOM)|SPAIN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322150|LENOVO TECHNOLOGY (UNITED KINGDOM)|SWITZERLAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322521|LENOVO GLOBAL TECHNOLOGY (UNITED KI| United Kingdom|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000303873|LENOVO X TECHNOLOGY (UNITED KINGDOM| United Kingdom|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307649|LENOVO BELGIUM SPRL                |BELGIUM|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000432910|LENOVO GLOBAL TECHNOLOGY BELGIUM   |BELGIUM|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307650|LENOVO DANMARK APS                 |DENMARK|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000432940|LENOVO GLOBAL TECHNOLOGY DENMARK   |DENMARK|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322240|LENOVO TECHNOLOGY  BV              |FINLAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307939|LENOVO TECHNOLOGY BV               |FINLAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000432911|LENOVO FRANCE SAS                  |FRANCE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000306298|LENOVO FRANCE SAS                  |FRANCE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000305859|LENOVO DEUTSCHLAND GMBH            |GERMANY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322913|LENOVO GLOBAL TECHNOLOGY GERMANY   |GERMANY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000432939|LENOVO INTERNATIONAL BV            |IRELAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000306765|LENOVO INTERNATIONAL BV            |IRELAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322144|LENOVO ITALY SRL                   |ITALY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000306754|LENOVO ITALY SRL                   |ITALY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307686|LENOVO INTERNATIONAL COOPERATIEF UA|NETHERLANDS|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322520|LENOVO INTERNATIONAL COOPERATIVE UA|NETHERLANDS|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322147|LENOVO TECHNOLOGY BV               |NORWAY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307449|LENOVO TECHNOLOGY BV               |NORWAY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322143|LENOVO SPAIN SL                    |SPAIN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307182|LENOVO SPAIN SL                    |SPAIN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322146|LENOVO SWEDEN AB                   |SWEDEN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307959|LENOVO SWEDEN AB                   |SWEDEN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322150|LENOVO SCHWEIZ GMBH                |SWITZERLAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000307897|LENOVO SCHWEIZ GMBH                |SWITZERLAND|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000322521|LENOVO TECHNOLOGY UNITED KINGDOM   | United Kingdom|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000303873|LENOVO TECHNOLOGY UNITED KINGDOM   | United Kingdom|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
093205|LENOVO ENTERPRISE SOLUTIONS LTD.|JAPAN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
094326|LENOVO JAPAN LTD.|JAPAN|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000449996|LENOVO GLO|ARGENTINA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
30709237647|LENOVO SPA|ARGENTINA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000444154|LENOVO COM|BRAZIL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000448951|LENOVO GLO|BRAZIL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
07275920|LENOVO TEC|BRAZIL|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
59112930-9|LENOVO AGE|CHILE|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
9000305383|LENOVO ASIA PACIFIC|COLOMBIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
Y50508|LENOVO MEX|MEXICO|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
20511063184|LENOVO ASI|Peru|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
001579|LENOVO|TURKEY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000432938|LENOVO TEC|TURKEY|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000433096|LENOVO.GLOBAL.TECHNOLOGY HK LIMITED|KENYA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000346040|LENOVO PC HK                       |MADAGASCAR|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000433096|LENOVO PC HK LTD                   |NIGERIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000346040|LENOVO GLOBAL TECHNOLOGY HONG KONG |SAUDI ARABIA|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000299328|LENOVO GROUP LTD|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000313750|LENOVO GROUP LTD|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000350975|LENOVO GROUP LTD|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
1000302578|LENOVO INC. (PURCHASE EXCEPTIONS)|UNITED STATES|N/A|6950-93H  6940-93H|6943-07M  6943-07P  6948-22X  6948-52K  6948-52M|Distributed Middleware  Databases  Servers and Storage Management|39448|55153|Kameshwara Rayaprolu|Kameshwara Rayaprolu|
