<<<<<<< HEAD
Procurement Reference (Mandatory for Third Party - 1° Tier Vendor)  or IBM identification Nbr.	Entity Name (IBM or Third Party vendor)	Address/country	Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors	Offering ID (level 30)	Offering ID (level 40)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	On boarding	Off-Boarding	Offering Owner	Assesment Owner	NOTE
6437|CISCO SYSTEMS  INC|PERU|N/A|6940-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
6437|CISCO SYSTEMS  INC|PERU|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
6437|CISCO SYSTEMS  INC|PERU|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
6437|CISCO SYSTEMS  INC|PERU|N/A|6950-15Y|6948-52N|IBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100915  - Vendor location will be selected based on customer requirement
6437|CISCO SYSTEMS  INC|PERU|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
6437|CISCO SYSTEMS  INC|PERU|N/A|6950-98A|6948-90M  6948-76K|Identity & Access Management (*all)|||Arun KS|Arun KS|Onboarding and Offboarding dates are subject to contractual terms.  Applicable for Cisco ACI
11|CISCO SYSTEMS  INC.|ECUADOR|N/A|6940-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
11|CISCO SYSTEMS  INC.|ECUADOR|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
11|CISCO SYSTEMS  INC.|ECUADOR|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
11|CISCO SYSTEMS  INC.|ECUADOR|N/A|6950-15Y|6948-52N|iBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100915  - Vendor location will be selected based on customer requirement
11|CISCO SYSTEMS  INC.|ECUADOR|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
11|CISCO SYSTEMS  INC.|ECUADOR|N/A|6950-98A|6948-90M  6948-76K|Identity & Access Management (*all)|||Arun KS|Arun KS|Onboarding and Offboarding dates are subject to contractual terms.  Applicable for Cisco ACI
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6940-93H|6948-68V  6943-12P|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6940-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6941-94X|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6950-15Y|6948-52N|iBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100915  - Vendor location will be selected based on customer requirement
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6950-93H|6948-68V  6943-12P|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000380969|CISCO WEBEX LLC|UNITED STATES|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000373186|CISCOIN|INDIA|N/A|6940-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000373186|CISCOIN|INDIA|N/A|6941-03S|6943-05Z|Managed Network Services|||Palash Bose|KG John Justin|
1000373186|CISCOIN|INDIA|N/A|6941-94X|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000373186|CISCOIN|INDIA|N/A|6941-94X|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000373186|CISCOIN|INDIA|N/A|6950-07F|6948-46F|Managed Network Services|||Palash Bose|KG John Justin|
1000373186|CISCOIN|INDIA|N/A|6950-15Y|6948-52N|IBM Cloud Resiliency Orchestration|11/15/2016|12/31/2050|Anilkumar Khadke|Anilkumar Khadke|PID00100915  - Vendor location will be selected based on customer requirement
1000373186|CISCOIN|INDIA|N/A|6950-15Y|6948-52P (GTS)  6943-07S (SO)|Orchestrated Disaster Recovery as a Service|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000373186|CISCOIN|INDIA|N/A|6950-15Y|6948-64M (GTS)  6943-11C (SO)|Managed Services without Orchestration|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000373186|CISCOIN|INDIA|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000373186|CISCOIN|INDIA|N/A|6950-98A|6948-90M  6948-76K|Identity & Access Management (*all)|||Arun KS|Arun KS|Onboarding and Offboarding dates are subject to contractual terms.  Applicable for Cisco ACI
1000319666|CITRIX SYSTEMS|UNITED STATES|N/A|6950-95S|6948-17Y|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Srinivas V Mudagonda/India/IBM|Carol Zichi/Grand Rapids/IBM|
1000319666|CITRIX SYSTEMS|UNITED STATES|N/A|6950-95S|6948-97K|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Srinivas V Mudagonda/India/IBM|Carol Zichi/Grand Rapids/IBM|
1000319666|CITRIX SYSTEMS|UNITED STATES|N/A|6950-98Q|6948-24S|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Srinivas V Mudagonda/India/IBM|Carol Zichi/Grand Rapids/IBM|
1000084601|CITRIX SYSTEMS INC|UNITED STATES|N/A|6941-95D|6948-57A / 6943-09H (O)|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Nikhil Singh|Gene Morita|
1000084601|CITRIX SYSTEMS INC|UNITED STATES|N/A|6950-17W|6948-57A / 6943-09H (O)|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Nikhil Singh|Gene Morita|Win10 Migration
1000084601|CITRIX SYSTEMS INC|UNITED STATES|N/A|6950-99H|6948-57A / 6943-09H (O)|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Nikhil Singh|Gene Morita|
1000442245|CLOUD EUROPE SRL|ITALY|N/A|6941-03W|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000442245|CLOUD EUROPE SRL|ITALY|N/A|6950-98H|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0229|Cloudant  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6940-98V|6948-45J ; 6943-05T|MCCS-Service Desk; Workplace Support Services|12/9/2016||Vishal Joshi|Vishal Joshi|WSSwW
IBM_IMP0229|Cloudant  Inc.|c/o The Corporation Trust Company  Corporation Trust Center  1209 Orange Street  DE-19801  -   USA|N/A|6950-15M|6948-45J ; 6943-05T|MCCS-Service Desk; Workplace Support Services|12/9/2016||Vishal Joshi|Vishal Joshi|WSSwW
unknowVendor_Id172|COFELY (Site)|NOT IN GT|N/A|6941-03W|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id172|COFELY (Site)|NOT IN GT|N/A|6950-98H|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000326719|COLT TECHNOLOGY SERVICES SPA|ITALY|N/A|6941-03W|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000326719|COLT TECHNOLOGY SERVICES SPA|ITALY|N/A|6950-98H|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000091264|COMMVAULT SYSTEMS INC|UNITED STATES|N/A|6940-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000091264|COMMVAULT SYSTEMS INC|UNITED STATES|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000316638|COMMVAULT SYSTEMS LIMITED|UNITED KINGDOM|N/A|6940-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
1000316638|COMMVAULT SYSTEMS LIMITED|UNITED KINGDOM|N/A|6950-93H|6948-68W  6943-12N|Distributed Middleware  Databases  Servers and Storage Management|1/1/2008|12/31/1999|LaTarsha C. Dunkley|LaTarsha C. Dunkley|
IBM_EXP0021|Compagnie IBM France  S.A.S.|17 avenue de l’Europe   92275 Bois-Colombes Cedex   -  France|N/A|6941-95D|6948-23U  6943-08T|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Rahul Pathak|Aurelien Chatiliez|
IBM_EXP0021|Compagnie IBM France  S.A.S.|17 avenue de l’Europe   92275 Bois-Colombes Cedex   -  France|N/A|6950-04B|6948-41W|Resiliency Consulting Services|11/16/2015|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_EXP0021|Compagnie IBM France  S.A.S.|17 avenue de l’Europe   92275 Bois-Colombes Cedex   -  France|N/A|6950-17U|6948-56N|Resiliency Consulting Services|3/17/2017|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_EXP0021|Compagnie IBM France  S.A.S.|17 avenue de l’Europe   92275 Bois-Colombes Cedex   -  France|N/A|6950-93E|6948-16W|Resiliency Consulting Services|9/19/2006|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_EXP0021|Compagnie IBM France  S.A.S.|17 avenue de l’Europe   92275 Bois-Colombes Cedex   -  France|N/A|6950-99H|6948-23U  6943-08T|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Rahul Pathak|Aurelien Chatiliez|
IBM_EXP0122|Companhia IBM Portuguesa  S.A.|Edificio Office Oriente  Rua Mar da China  nº 3  -  Portugal|N/A|6950-04B|6948-41W|Resiliency Consulting Services|11/16/2015|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_EXP0122|Companhia IBM Portuguesa  S.A.|Edificio Office Oriente  Rua Mar da China  nº 3  -  Portugal|N/A|6950-17U|6948-56N|Resiliency Consulting Services|3/17/2017|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_EXP0122|Companhia IBM Portuguesa  S.A.|Edificio Office Oriente  Rua Mar da China  nº 3  -  Portugal|N/A|6950-93E|6948-16W|Resiliency Consulting Services|9/19/2006|1/1/2023|Paul D. Saxton|Paul D. Saxton|
1000362896|CORNING OPTICAL COMMUNICATIONS|UNITED STATES|N/A|6950-93A|6948-34U|Transition and Transformation (T&T) Procure  Install and Configure a Layer-2 fiber-based Passive Optical Network for the enterprise|4/1/2018||John Short|Luis Farrolas|
Not listed|Dasan Zhone Solutions Inc|UNITED STATES|N/A|6950-93A|6948-34U|Transition and Transformation (T&T) Procure  Install and Configure a Layer-2 fiber-based Passive Optical Network for the enterprise|4/1/2018||John Short|Luis Farrolas|http://dasanzhone.com/
0034818888A|DESA AUSTR|AUSTRALIA|N/A|6941-03W|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
0034818888A|DESA AUSTR|AUSTRALIA|N/A|6950-98H|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000281759|DIGITEX INFORMATICA SL|SPAIN|N/A|6940-98P|6948-97E ; 6943-05R|MCCS-Service Desk; Workplace Support Services|||Mohit Bhatnagar|Mohit Bhatnagar|Service Desk
1000281759|DIGITEX INFORMATICA SL|SPAIN|N/A|6950-99N|6948-97E ; 6943-05R|MCCS-Service Desk; Workplace Support Services|||Mohit Bhatnagar|Mohit Bhatnagar|Service Desk
IBM Global contract and not using any specific contract for ICMS offering|DOUBLE TAKE SOFTWARE|FRANCE|N/A|6941 - 96K|6948 - 57X  6948-57Y  (O) 6943- 10Q & 6943-10R|Integrated Service and Support Management|||Murugesan Sethu|Arvind Sogathur|
1000088553|DOUBLE TAKE SOFTWARE|FRANCE|N/A|6950-05Y|6948 - 57X  6948-57Y  (O) 6943- 10Q & 6943-10R|Integrated Service and Support Management|||Murugesan Sethu|Arvind Sogathur|
1000436118|Etisalat (Site)|ARAB EMIRATES|N/A|6941-03W|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000436118|Etisalat (Site)|ARAB EMIRATES|N/A|6950-98H|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000343496|EUDATA SRL|ITALY|N/A|6940-98P|6948-97E ; 6943-05R|MCCS-Service Desk; Workplace Support Services|||Mohit Bhatnagar|Mohit Bhatnagar|Service Desk
1000343496|EUDATA SRL|ITALY|N/A|6950-99N|6948-97E ; 6943-05R|MCCS-Service Desk; Workplace Support Services|||Mohit Bhatnagar|Mohit Bhatnagar|Service Desk
33433|EXPERIS I|ISRAEL|N/A|6940-98P|6948-97E ; 6943-05R|MCCS-Service Desk; Workplace Support Services||12/31/2021|Mohit Bhatnagar|Mohit Bhatnagar|Service Desk
33433|EXPERIS I|ISRAEL|N/A|6950-99N|6948-97E ; 6943-05R|MCCS-Service Desk; Workplace Support Services||12/31/2021|Mohit Bhatnagar|Mohit Bhatnagar|Service Desk
1000144356|EXPERIS MANPOWERGROUP SL|SPAIN|N/A|6940-98P|6948-97E ; 6943-05R|MCCS-Service Desk; Workplace Support Services||12/31/2021|Mohit Bhatnagar|Mohit Bhatnagar|Service Desk
1000144356|EXPERIS MANPOWERGROUP SL|SPAIN|N/A|6950-99N|6948-97E ; 6943-05R|MCCS-Service Desk; Workplace Support Services||12/31/2021|Mohit Bhatnagar|Mohit Bhatnagar|Service Desk
1000266358|FIBERLINK COMMUNICATIONS|UNITED STATES|N/A|6941-94L|6948-90S  6943-90S   6948-46J  6943-09F|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Gene Morita|Aurelien Chatiliez|
1000266358|FIBERLINK COMMUNICATIONS|UNITED STATES|N/A|6941-95D|6948-57A / 6943-09H (O)|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Nikhil Singh|Gene Morita|
1000266358|FIBERLINK COMMUNICATIONS|UNITED STATES|N/A|6950-15R|6948-90S  6943-90S   6948-46J  6943-09F|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Gene Morita|Aurelien Chatiliez|
1000266358|FIBERLINK COMMUNICATIONS|UNITED STATES|N/A|6950-99H|6948-57A / 6943-09H (O)|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Nikhil Singh|Gene Morita|
1000441709|FLEXXIBLE INFORMATION TECHNOLOGY SL|SPAIN|N/A|6950-98Q|6948-24S|Mobility Services Delivery; Managed Mobility and Workplace Support Services|||Srinivas V Mudagonda/India/IBM|Carol Zichi/Grand Rapids/IBM|
1000215542|Genesys Telecommunications|UNITED STATES|N/A|6950-87J|6948-75K CC Project Sevices|Transition and Transformation (T&T)|4/1/2018||Frederick Key|Frederick Key|
unknowVendor_Id148|GeoTrust|NOT IN GT|N/A|6941-03W|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id148|GeoTrust|NOT IN GT|N/A|6950-98H|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000373952|GLOBAL SOURCING GROUP|DENMARK|1.  Out Task AG Bottighoferstrasse 1 CH-8280 Kreuzlingen   2.  170 route de Font de Cine - « Le Quartz » B17 06220 Vallauris  Sophia Antipolis|6941-94V|6948-42K - network infrastructure cost optimization|Vendor Managed Services (people  process  tool).  NICO never went thru rapid process due to lack of funding and other NS Global changes and therefore Global Sourcing Group (GSG) or Sakon platform isn t in GSAR.  Inserting GSG s platform in progress|||Lisa  Johnson|Lisa  Johnson|please NOTICE: GSG recently (this week) changed their name legally to Sakon. NICO service offering is in transition for AECOM including EU countries.  Implementation is not yet completed and has had delays on the client side.  On boarding date is the expected transition completion date.  Both Out Task and Neoditel are subcontractors to Global Sourcing Group (GSG).  Outtask (people accessing Sakon data) business resides in Switzerland.  Sakon s hosting is in Germany.  Neoditel (people accessing Sakon data) business resides in France.  Sakon s hosting is in Germany.
1000373952|GLOBAL SOURCING GROUP|DENMARK|1.  Out Task AG Bottighoferstrasse 1 CH-8280 Kreuzlingen   2.  170 route de Font de Cine - « Le Quartz » B17 06220 Vallauris  Sophia Antipolis|6950-99S|6948-42K - network infrastructure cost optimization|Vendor Managed Services (people  process  tool).  NICO never went thru rapid process due to lack of funding and other NS Global changes and therefore Global Sourcing Group (GSG) or Sakon platform isn t in GSAR.  Inserting GSG s platform in progress|||Lisa  Johnson|Lisa  Johnson|please NOTICE: GSG recently (this week) changed their name legally to Sakon. NICO service offering is in transition for AECOM including EU countries.  Implementation is not yet completed and has had delays on the client side.  On boarding date is the expected transition completion date.  Both Out Task and Neoditel are subcontractors to Global Sourcing Group (GSG).  Outtask (people accessing Sakon data) business resides in Switzerland.  Sakon s hosting is in Germany.  Neoditel (people accessing Sakon data) business resides in France.  Sakon s hosting is in Germany.
unknowVendor_Id158|Global Switch (Site)|NOT IN GT|N/A|6941-03W|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id158|Global Switch (Site)|NOT IN GT|N/A|6950-98H|6948-16D (GTS)|IBM Cloud Virtualized Server Recovery|||Craig Poole/UK/IBM|Craig Poole/UK/IBM|**New - Not identified as a previous vendor of services      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
IBM_IMP0157|Grupo IBM Mexico  S. de R.L. de C.V.|Alfonso Nápoles Gandara No. 3111  Parque Corporativo de Peña Blanca  C.P. 01210  -   Mexico|N/A|6950-04B|6948-41W|Resiliency Consulting Services|11/16/2015|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_IMP0157|Grupo IBM Mexico  S. de R.L. de C.V.|Alfonso Nápoles Gandara No. 3111  Parque Corporativo de Peña Blanca  C.P. 01210  -   Mexico|N/A|6950-17U|6948-56N|Resiliency Consulting Services|3/17/2017|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_IMP0157|Grupo IBM Mexico  S. de R.L. de C.V.|Alfonso Nápoles Gandara No. 3111  Parque Corporativo de Peña Blanca  C.P. 01210  -   Mexico|N/A|6950-93E|6948-16W|Resiliency Consulting Services|9/19/2006|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_IMP0057|IBM (China) Co.  Ltd.|7F  Building 10  399 Keyuan Road  Zhangjiang Hi-Tech Park   Shanghai   201203  -   China|N/A|6950-04B|6948-41W|Resiliency Consulting Services|11/16/2015|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_IMP0057|IBM (China) Co.  Ltd.|7F  Building 10  399 Keyuan Road  Zhangjiang Hi-Tech Park   Shanghai   201203  -   China|N/A|6950-17U|6948-56N|Resiliency Consulting Services|3/17/2017|1/1/2023|Paul D. Saxton|Paul D. Saxton|
IBM_IMP0057|IBM (China) Co.  Ltd.|7F  Building 10  399 Keyuan Road  Zhangjiang Hi-Tech Park   Shanghai   201203  -   China|N/A|6950-93E|6948-16W|Resiliency Consulting Services|9/19/2006|1/1/2023|Paul D. Saxton|Paul D. Saxton|
